Time,Temperature (°C),Humidity (%)
2024-02-07 19:00:00,17.1,31.5
2024-02-07 19:01:00,17.1,31.6
2024-02-07 19:02:00,17.1,31.9
2024-02-07 19:03:00,16.9,32.0
2024-02-07 19:04:00,16.9,32.2
2024-02-07 19:05:00,16.8,32.3
2024-02-07 19:06:00,16.9,32.6
2024-02-07 19:07:00,17.0,32.8
2024-02-07 19:08:00,17.1,32.9
2024-02-07 19:09:00,16.9,32.8
2024-02-07 19:10:00,17.0,33.1
2024-02-07 19:11:00,16.9,33.3
2024-02-07 19:12:00,16.9,33.5
2024-02-07 19:13:00,16.9,33.7
2024-02-07 19:14:00,17.0,33.8
2024-02-07 19:15:00,17.0,33.9
2024-02-07 19:16:00,16.8,34.0
2024-02-07 19:17:00,16.9,34.2
2024-02-07 19:18:00,16.7,34.4
2024-02-07 19:19:00,17.1,34.4
2024-02-07 19:20:00,16.7,34.6
2024-02-07 19:21:00,16.8,34.9
2024-02-07 19:22:00,16.9,34.9
2024-02-07 19:23:00,16.6,34.9
2024-02-07 19:24:00,16.9,35.1
2024-02-07 19:25:00,16.7,35.3
2024-02-07 19:26:00,16.7,35.4
2024-02-07 19:27:00,16.6,35.6
2024-02-07 19:28:00,16.7,35.6
2024-02-07 19:29:00,16.6,35.9
2024-02-07 19:30:00,16.9,35.9
2024-02-07 19:31:00,16.8,35.9
2024-02-07 19:32:00,16.8,36.2
2024-02-07 19:33:00,16.5,36.1
2024-02-07 19:34:00,16.7,36.3
2024-02-07 19:35:00,16.6,36.4
2024-02-07 19:36:00,16.8,36.5
2024-02-07 19:37:00,16.6,36.6
2024-02-07 19:38:00,16.5,36.9
2024-02-07 19:39:00,16.7,36.9
2024-02-07 19:40:00,16.6,37.2
2024-02-07 19:41:00,16.7,37.1
2024-02-07 19:42:00,16.5,37.3
2024-02-07 19:43:00,16.5,37.3
2024-02-07 19:44:00,16.6,37.3
2024-02-07 19:45:00,16.5,37.5
2024-02-07 19:46:00,16.4,37.5
2024-02-07 19:47:00,16.7,37.7
2024-02-07 19:48:00,16.5,37.8
2024-02-07 19:49:00,16.5,37.9
2024-02-07 19:50:00,16.5,37.9
2024-02-07 19:51:00,16.4,38.0
2024-02-07 19:52:00,16.5,38.0
2024-02-07 19:53:00,16.5,38.2
2024-02-07 19:54:00,16.5,38.2
2024-02-07 19:55:00,16.7,38.3
2024-02-07 19:56:00,16.7,38.5
2024-02-07 19:57:00,16.4,38.6
2024-02-07 19:58:00,16.4,38.7
2024-02-07 19:59:00,16.6,38.7
2024-02-07 20:00:00,16.5,38.9
2024-02-07 20:01:00,16.6,38.8
2024-02-07 20:02:00,16.5,39.0
2024-02-07 20:03:00,16.6,39.1
2024-02-07 20:04:00,16.4,39.1
2024-02-07 20:05:00,16.4,39.3
2024-02-07 20:06:00,16.4,39.3
2024-02-07 20:07:00,16.4,39.4
2024-02-07 20:08:00,16.6,39.5
2024-02-07 20:09:00,16.5,39.7
2024-02-07 20:10:00,16.5,39.5
2024-02-07 20:11:00,16.5,39.7
2024-02-07 20:12:00,16.5,39.7
2024-02-07 20:13:00,16.2,39.8
2024-02-07 20:14:00,16.3,39.9
2024-02-07 20:15:00,16.4,40.0
2024-02-07 20:16:00,16.3,39.9
2024-02-07 20:17:00,16.2,40.1
2024-02-07 20:18:00,16.3,40.1
2024-02-07 20:19:00,16.6,40.2
2024-02-07 20:20:00,16.2,40.1
2024-02-07 20:21:00,16.4,40.3
2024-02-07 20:22:00,16.3,40.5
2024-02-07 20:23:00,16.6,40.5
2024-02-07 20:24:00,16.5,40.4
2024-02-07 20:25:00,16.5,40.7
2024-02-07 20:26:00,16.4,40.6
2024-02-07 20:27:00,16.4,40.9
2024-02-07 20:28:00,16.5,40.6
2024-02-07 20:29:00,16.2,41.0
2024-02-07 20:30:00,16.5,41.0
2024-02-07 20:31:00,16.4,41.1
2024-02-07 20:32:00,16.3,41.3
2024-02-07 20:33:00,16.3,41.0
2024-02-07 20:34:00,16.4,41.1
2024-02-07 20:35:00,16.4,41.2
2024-02-07 20:36:00,16.4,41.3
2024-02-07 20:37:00,16.3,41.3
2024-02-07 20:38:00,16.2,41.4
2024-02-07 20:39:00,16.2,41.6
2024-02-07 20:40:00,16.2,41.4
2024-02-07 20:41:00,16.3,41.7
2024-02-07 20:42:00,16.2,41.7
2024-02-07 20:43:00,16.2,41.7
2024-02-07 20:44:00,16.3,41.7
2024-02-07 20:45:00,16.3,41.8
2024-02-07 20:46:00,16.2,41.8
2024-02-07 20:47:00,16.3,41.9
2024-02-07 20:48:00,16.3,42.0
2024-02-07 20:49:00,16.1,42.0
2024-02-07 20:50:00,16.3,42.1
2024-02-07 20:51:00,16.1,42.1
2024-02-07 20:52:00,16.1,42.1
2024-02-07 20:53:00,16.4,42.3
2024-02-07 20:54:00,16.4,42.3
2024-02-07 20:55:00,16.2,42.3
2024-02-07 20:56:00,16.5,42.4
2024-02-07 20:57:00,16.3,42.4
2024-02-07 20:58:00,16.4,42.5
2024-02-07 20:59:00,16.4,42.6
2024-02-07 21:00:00,16.2,42.4
2024-02-07 21:01:00,16.2,42.7
2024-02-07 21:02:00,16.3,42.7
2024-02-07 21:03:00,16.4,42.7
2024-02-07 21:04:00,16.2,42.9
2024-02-07 21:05:00,16.3,43.0
2024-02-07 21:06:00,16.2,42.9
2024-02-07 21:07:00,16.3,42.9
2024-02-07 21:08:00,16.2,43.1
2024-02-07 21:09:00,16.2,42.9
2024-02-07 21:10:00,16.3,43.1
2024-02-07 21:11:00,16.2,43.1
2024-02-07 21:12:00,16.4,43.2
2024-02-07 21:13:00,16.3,43.2
2024-02-07 21:14:00,16.1,43.1
2024-02-07 21:15:00,16.3,43.3
2024-02-07 21:16:00,16.1,43.4
2024-02-07 21:17:00,16.0,43.5
2024-02-07 21:18:00,16.2,43.4
2024-02-07 21:19:00,16.3,43.6
2024-02-07 21:20:00,16.2,43.6
2024-02-07 21:21:00,16.2,43.6
2024-02-07 21:22:00,16.3,43.6
2024-02-07 21:23:00,16.3,43.7
2024-02-07 21:24:00,16.3,43.7
2024-02-07 21:25:00,16.2,43.8
2024-02-07 21:26:00,16.3,44.0
2024-02-07 21:27:00,16.2,43.9
2024-02-07 21:28:00,16.2,43.8
2024-02-07 21:29:00,16.1,43.9
2024-02-07 21:30:00,16.1,44.0
2024-02-07 21:31:00,15.9,44.1
2024-02-07 21:32:00,16.2,44.0
2024-02-07 21:33:00,16.1,44.2
2024-02-07 21:34:00,16.3,44.1
2024-02-07 21:35:00,16.1,44.2
2024-02-07 21:36:00,16.1,44.3
2024-02-07 21:37:00,16.3,44.4
2024-02-07 21:38:00,15.9,44.3
2024-02-07 21:39:00,16.0,44.4
2024-02-07 21:40:00,16.2,44.4
2024-02-07 21:41:00,16.0,44.4
2024-02-07 21:42:00,16.2,44.6
2024-02-07 21:43:00,16.2,44.6
2024-02-07 21:44:00,16.1,44.6
2024-02-07 21:45:00,16.1,44.5
2024-02-07 21:46:00,15.9,44.7
2024-02-07 21:47:00,16.1,44.7
2024-02-07 21:48:00,16.1,44.6
2024-02-07 21:49:00,16.1,44.7
2024-02-07 21:50:00,16.1,44.8
2024-02-07 21:51:00,16.2,44.8
2024-02-07 21:52:00,16.2,44.9
2024-02-07 21:53:00,16.0,44.9
2024-02-07 21:54:00,16.2,44.9
2024-02-07 21:55:00,16.2,45.0
2024-02-07 21:56:00,16.2,44.9
2024-02-07 21:57:00,16.0,45.0
2024-02-07 21:58:00,16.0,45.1
2024-02-07 21:59:00,16.1,45.2
2024-02-07 22:00:00,16.0,45.1
2024-02-07 22:01:00,16.0,45.2
2024-02-07 22:02:00,16.2,45.2
2024-02-07 22:03:00,16.2,45.3
2024-02-07 22:04:00,16.0,45.4
2024-02-07 22:05:00,16.1,45.5
2024-02-07 22:06:00,16.0,45.3
2024-02-07 22:07:00,16.2,45.4
2024-02-07 22:08:00,16.1,45.6
2024-02-07 22:09:00,15.9,45.5
2024-02-07 22:10:00,16.1,45.5
2024-02-07 22:11:00,16.1,45.6
2024-02-07 22:12:00,16.0,45.7
2024-02-07 22:13:00,16.0,45.7
2024-02-07 22:14:00,16.0,45.6
2024-02-07 22:15:00,16.0,45.7
2024-02-07 22:16:00,16.2,45.7
2024-02-07 22:17:00,15.9,45.8
2024-02-07 22:18:00,16.0,45.8
2024-02-07 22:19:00,16.0,45.8
2024-02-07 22:20:00,15.9,45.9
2024-02-07 22:21:00,16.0,45.9
2024-02-07 22:22:00,16.0,46.0
2024-02-07 22:23:00,16.0,46.0
2024-02-07 22:24:00,16.1,46.2
2024-02-07 22:25:00,16.0,46.0
2024-02-07 22:26:00,15.9,46.1
2024-02-07 22:27:00,16.0,46.1
2024-02-07 22:28:00,15.9,46.1
2024-02-07 22:29:00,16.0,46.2
2024-02-07 22:30:00,16.1,46.2
2024-02-07 22:31:00,16.0,46.3
2024-02-07 22:32:00,16.1,46.3
2024-02-07 22:33:00,15.9,46.2
2024-02-07 22:34:00,15.8,46.4
2024-02-07 22:35:00,16.1,46.4
2024-02-07 22:36:00,15.9,46.5
2024-02-07 22:37:00,15.9,46.4
2024-02-07 22:38:00,16.0,46.7
2024-02-07 22:39:00,16.0,46.5
2024-02-07 22:40:00,16.0,46.5
2024-02-07 22:41:00,16.0,46.5
2024-02-07 22:42:00,16.1,46.7
2024-02-07 22:43:00,15.9,46.6
2024-02-07 22:44:00,15.8,46.8
2024-02-07 22:45:00,16.1,46.7
2024-02-07 22:46:00,16.0,46.7
2024-02-07 22:47:00,15.9,46.8
2024-02-07 22:48:00,15.9,46.7
2024-02-07 22:49:00,16.0,46.9
2024-02-07 22:50:00,15.9,47.0
2024-02-07 22:51:00,15.9,46.9
2024-02-07 22:52:00,15.9,46.9
2024-02-07 22:53:00,15.9,46.9
2024-02-07 22:54:00,15.9,47.0
2024-02-07 22:55:00,15.9,46.8
2024-02-07 22:56:00,16.0,47.2
2024-02-07 22:57:00,15.9,47.1
2024-02-07 22:58:00,16.1,47.0
2024-02-07 22:59:00,16.0,46.9
2024-02-07 23:00:00,16.0,47.1
2024-02-07 23:01:00,15.9,46.9
2024-02-07 23:02:00,15.9,47.1
2024-02-07 23:03:00,15.9,47.3
2024-02-07 23:04:00,15.9,47.3
2024-02-07 23:05:00,15.9,47.2
2024-02-07 23:06:00,16.0,47.3
2024-02-07 23:07:00,16.0,47.3
2024-02-07 23:08:00,16.0,47.5
2024-02-07 23:09:00,15.9,47.6
